time[sec],ax[m/s^2],ay[m/s^2],az[m/s^2],roll_rate[deg/s],pitch_rate[deg/s],yaw_rate[deg/s],roll[deg],pitch[deg],yaw[deg],lat[deg],lon[deg],alt[m],gss_linear_x[m/s],gss_linear_y[m/s],gss_linear_z[m/s],gss_angular_x[rad/s],gss_angular_y[rad/s],gss_angular_z[rad/s]
0.1,-0.012394796125590801,0.004215482622385025,-9.790250778198242,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,0.0006099812453612685,0.00042874799692071974,-7.858454409870319e-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.012394796125590801,0.004215482622385025,-9.790250778198242,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,0.0006099812453612685,0.00042874799692071974,-7.858454409870319e-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.012394796125590801,0.004215482622385025,-9.790250778198242,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,0.0006099812453612685,0.00042874799692071974,-7.858454409870319e-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.012394796125590801,0.004215482622385025,-9.790250778198242,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,0.0006099812453612685,0.00042874799692071974,-7.858454409870319e-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.012394796125590801,0.004215482622385025,-9.790250778198242,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,0.0006099812453612685,0.00042874799692071974,-7.858454409870319e-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.01312258280813694,0.0016176709905266762,-9.808545112609863,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,-0.0003126942610833794,0.00030692885047756135,0.0003040949522983283,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.01312258280813694,0.0016176709905266762,-9.808545112609863,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,-0.0003126942610833794,0.00030692885047756135,0.0003040949522983283,47.64146799988571,-122.14016500004271,122.24545288085938,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.01312258280813694,0.0016176709905266762,-9.808545112609863,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,-0.0003126942610833794,0.00030692885047756135,0.0003040949522983283,47.64146799988571,-122.14016500004271,122.24545288085938,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.01312258280813694,0.0016176709905266762,-9.808545112609863,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,-0.0003126942610833794,0.00030692885047756135,0.0003040949522983283,47.64146799988571,-122.14016500004271,122.24545288085938,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.01312258280813694,0.0016176709905266762,-9.808545112609863,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,-0.0003126942610833794,0.00030692885047756135,0.0003040949522983283,47.64146799988571,-122.14016500004271,122.24545288085938,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.01312258280813694,0.0016176709905266762,-9.808545112609863,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,-0.0003126942610833794,0.00030692885047756135,0.0003040949522983283,47.64146799988571,-122.14016500004271,122.24545288085938,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.01312258280813694,0.0016176709905266762,-9.808545112609863,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,-0.0003126942610833794,0.00030692885047756135,0.0003040949522983283,47.64146799988571,-122.14016500004271,122.24545288085938,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.01312258280813694,0.0016176709905266762,-9.808545112609863,0.014604904207214282,-0.023932982928676124,-0.0004415077283927832,-0.0003126942610833794,0.00030692885047756135,0.0003040949522983283,47.64146799988571,-122.14016500004271,122.24545288085938,0.0,0.0,0.0,0.0,0.0,0.0
