time[sec],ax[m/s^2],ay[m/s^2],az[m/s^2],roll_rate[deg/s],pitch_rate[deg/s],yaw_rate[deg/s],roll[deg],pitch[deg],yaw[deg],lat[deg],lon[deg],alt[m],gss_linear_x[m/s],gss_linear_y[m/s],gss_linear_z[m/s],gss_angular_x[rad/s],gss_angular_y[rad/s],gss_angular_z[rad/s]
0.00,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000000,0.00000000,0.000,0.00000,0.00000,9500152657564558820191392838685537797467891763410783837003919102514318567752683466158225395351203252695065736664288302617872780078165024870976531021859925932372261602382383062020716934136835330586735371187065476264305459899647445982724938641267507140231168.00000,0.00000,0.00000,0.00000
0.10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000000,0.00000000,0.000,0.00000,0.00000,9500152657564558820191392838685537797467891763410783837003919102514318567752683466158225395351203252695065736664288302617872780078165024870976531021859925932372261602382383062020716934136835330586735371187065476264305459899647445982724938641267507140231168.00000,0.00000,0.00000,0.00000
0.20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000000,0.00000000,0.000,0.00000,0.00000,9500152657564558820191392838685537797467891763410783837003919102514318567752683466158225395351203252695065736664288302617872780078165024870976531021859925932372261602382383062020716934136835330586735371187065476264305459899647445982724938641267507140231168.00000,0.00000,0.00000,0.00000
0.30,-0.01327,0.00145,-9.79948,-0.00042,0.00060,0.00063,0.02256,-0.09063,0.00018,0.00000000,0.00000000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.40,-0.01516,-0.01632,-9.80785,0.00041,0.00084,-0.00041,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.50,-0.02789,-0.01032,-9.81561,0.00072,0.00023,0.00006,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.60,-0.00490,-0.01056,-9.81124,-0.00007,0.00005,-0.00086,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.70,0.02092,-0.01149,-9.81094,0.00036,-0.00067,0.00030,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.80,-0.00969,-0.01313,-9.81938,-0.00064,0.00025,0.00009,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.90,-0.02609,-0.00503,-9.80250,0.00067,0.00038,0.00001,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00,-0.01885,-0.00933,-9.78596,0.00065,-0.00016,0.00136,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.10,-0.01513,0.00225,-9.80127,0.00057,0.00004,0.00023,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.20,-0.03941,-0.00390,-9.82575,0.00039,0.00034,0.00011,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.30,-0.00485,0.00484,-9.80643,-0.00009,0.00031,-0.00021,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.40,-0.02515,-0.02567,-9.80463,-0.00024,0.00024,-0.00046,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.50,-0.02067,-0.01241,-9.81280,0.00071,-0.00035,-0.00030,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.60,-0.00259,0.00013,-9.82201,0.00012,0.00008,0.00004,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.70,-0.03108,0.01970,-9.77783,-0.00009,-0.00037,-0.00002,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.80,0.00066,0.01898,-9.78930,-0.00065,0.00076,0.00057,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.90,-0.00830,-0.01258,-9.80408,-0.00057,0.00038,-0.00017,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.00,-0.01402,0.01399,-9.78430,-0.00039,0.00032,-0.00001,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
