time[sec],ax[m/s^2],ay[m/s^2],az[m/s^2],roll_rate[deg/s],pitch_rate[deg/s],yaw_rate[deg/s],roll[deg],pitch[deg],yaw[deg],lat[deg],lon[deg],alt[m],gss_linear_x[m/s],gss_linear_y[m/s],gss_linear_z[m/s],gss_angular_x[rad/s],gss_angular_y[rad/s],gss_angular_z[rad/s]
0.00,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000000,0.00000000,0.000,0.00000,0.00000,-90815530723786701197437506401867849349237853106193397632346242121115618336344526274095325683788672861638773531036536868055168060361243282685588144128.00000,0.00000,0.00000,0.00000
0.10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000000,0.00000000,0.000,0.00000,0.00000,-90815530723786701197437506401867849349237853106193397632346242121115618336344526274095325683788672861638773531036536868055168060361243282685588144128.00000,0.00000,0.00000,0.00000
0.20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000000,0.00000000,0.000,0.00000,0.00000,-90815530723786701197437506401867849349237853106193397632346242121115618336344526274095325683788672861638773531036536868055168060361243282685588144128.00000,0.00000,0.00000,0.00000
0.30,-0.00310,-0.00436,-9.83054,-0.00136,-0.00002,-0.00041,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.40,-0.02142,-0.01183,-9.79542,-0.00023,0.00053,-0.00010,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.50,-0.02729,-0.00074,-9.80008,-0.00017,0.00015,0.00140,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.60,-0.03594,0.00268,-9.82348,0.00002,-0.00011,-0.00010,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.70,-0.01543,0.00319,-9.79598,-0.00017,-0.00063,-0.00087,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.80,-0.01212,-0.00559,-9.80665,-0.00025,0.00095,-0.00035,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.90,0.01391,0.01022,-9.82164,0.00038,-0.00082,0.00115,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00,-0.02145,0.00187,-9.81124,0.00050,-0.00005,0.00005,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.10,-0.00638,-0.01969,-9.80332,-0.00119,0.00031,0.00136,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.20,-0.02903,-0.00787,-9.81441,-0.00097,0.00059,0.00007,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.30,-0.01960,-0.00450,-9.79337,0.00061,0.00038,0.00024,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.40,-0.03754,0.00017,-9.80979,0.00038,0.00025,-0.00016,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.50,-0.02433,-0.01470,-9.81648,0.00074,0.00082,0.00036,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.60,-0.02273,0.02629,-9.79762,0.00028,-0.00005,0.00027,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.70,-0.00562,-0.02926,-9.78326,0.00053,-0.00017,0.00010,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.80,-0.00770,-0.00653,-9.79582,-0.00074,-0.00005,0.00099,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.90,0.00434,0.00146,-9.80365,-0.00032,-0.00041,0.00005,0.02256,-0.09063,0.00018,47.64146801,-122.14016500,122.244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
